"","game_str","play_id","at_bat","play_per_game","timestamp","player_position","event_code","Season","HomeTeam","AwayTeam","Day","player_ID"
"1","1883_005_Vis1AC_Home1A",79,14,79,2305248,6,2,"Season_1883","Home1A","Vis1AC","day_005",513
"2","1883_005_Vis1AC_Home1A",79,14,79,2305748,6,3,"Season_1883","Home1A","Vis1AC","day_005",513
"3","1883_005_Vis1AC_Home1A",88,17,88,2672448,6,2,"Season_1883","Home1A","Vis1AC","day_005",513
"4","1883_005_Vis1AC_Home1A",88,17,88,2673698,6,3,"Season_1883","Home1A","Vis1AC","day_005",513
"5","1883_005_Vis1AC_Home1A",97,22,97,3165648,6,2,"Season_1883","Home1A","Vis1AC","day_005",513
"6","1883_005_Vis1AC_Home1A",97,22,97,3166598,6,3,"Season_1883","Home1A","Vis1AC","day_005",513
"7","1883_005_Vis1AC_Home1A",108,25,108,3515198,6,2,"Season_1883","Home1A","Vis1AC","day_005",513
"8","1883_005_Vis1AC_Home1A",130,30,130,4211748,6,2,"Season_1883","Home1A","Vis1AC","day_005",513
"9","1883_005_Vis1AC_Home1A",130,30,130,4212498,6,3,"Season_1883","Home1A","Vis1AC","day_005",513
"10","1883_005_Vis1AC_Home1A",135,31,135,4350448,6,2,"Season_1883","Home1A","Vis1AC","day_005",513
"11","1883_005_Vis1AC_Home1A",146,NA,146,4714248,6,2,"Season_1883","Home1A","Vis1AC","day_005",513
"12","1883_005_Vis1AC_Home1A",169,39,169,5503798,6,2,"Season_1883","Home1A","Vis1AC","day_005",513
"13","1883_005_Vis1AC_Home1A",172,39,172,5602648,6,2,"Season_1883","Home1A","Vis1AC","day_005",513
"14","1883_005_Vis1AC_Home1A",227,50,227,7578598,6,2,"Season_1883","Home1A","Vis1AC","day_005",513
"15","1883_005_Vis1AC_Home1A",237,52,237,7923448,6,2,"Season_1883","Home1A","Vis1AC","day_005",513
"16","1883_005_Vis1AC_Home1A",279,62,279,9497448,6,2,"Season_1883","Home1A","Vis1AC","day_005",513
"17","1883_005_Vis1AC_Home1A",290,64,290,9900098,6,2,"Season_1883","Home1A","Vis1AC","day_005",513
"18","1883_005_Vis1AC_Home1A",293,65,293,10154898,6,2,"Season_1883","Home1A","Vis1AC","day_005",513
"19","1883_005_Vis1AC_Home1A",293,65,293,10155648,6,3,"Season_1883","Home1A","Vis1AC","day_005",513
"20","1883_005_Vis1AC_Home1A",312,70,312,10796298,6,2,"Season_1883","Home1A","Vis1AC","day_005",513
"21","1883_005_Vis1AC_Home1A",318,71,318,10994298,6,2,"Season_1883","Home1A","Vis1AC","day_005",513
"22","1883_005_Vis1AC_Home1A",332,74,332,11600998,6,2,"Season_1883","Home1A","Vis1AC","day_005",513
"23","1883_005_Vis1AC_Home1A",332,74,332,11601698,6,3,"Season_1883","Home1A","Vis1AC","day_005",513
"24","1883_002_Vis1AB_Home1A",57,15,57,2122162,6,2,"Season_1883","Home1A","Vis1AB","day_002",0
"25","1883_007_Vis1AC_Home1A",9,NA,9,170688,6,2,"Season_1883","Home1A","Vis1AC","day_007",513
"26","1883_007_Vis1AC_Home1A",9,NA,9,171117,6,3,"Season_1883","Home1A","Vis1AC","day_007",513
"27","1883_007_Vis1AC_Home1A",43,13,43,1416439,6,2,"Season_1883","Home1A","Vis1AC","day_007",513
"28","1883_007_Vis1AC_Home1A",48,15,48,1608301,6,2,"Season_1883","Home1A","Vis1AC","day_007",513
"29","1883_007_Vis1AC_Home1A",97,28,98,3431187,6,2,"Season_1883","Home1A","Vis1AC","day_007",513
