"","game_str","play_id","at_bat","play_per_game","timestamp","player_position","event_code","Season","HomeTeam","AwayTeam","Day","player_ID"
"1","1883_003_Vis1AB_Home1A",4,1,4,90848,6,2,"Season_1883","Home1A","Vis1AB","day_003",993
"2","1883_003_Vis1AB_Home1A",4,1,4,91898,6,3,"Season_1883","Home1A","Vis1AB","day_003",993
"3","1883_003_Vis1AB_Home1A",58,15,58,1829648,6,2,"Season_1883","Home1A","Vis1AB","day_003",993
"4","1883_003_Vis1AB_Home1A",125,33,125,4383448,6,2,"Season_1883","Home1A","Vis1AB","day_003",993
"5","1883_003_Vis1AB_Home1A",127,34,127,4445398,6,2,"Season_1883","Home1A","Vis1AB","day_003",993
"6","1883_003_Vis1AB_Home1A",249,63,249,8537048,6,2,"Season_1883","Home1A","Vis1AB","day_003",993
"7","1883_006_Vis1AC_Home1A",97,31,98,3337345,6,2,"Season_1883","Home1A","Vis1AC","day_006",513
"8","1883_006_Vis1AC_Home1A",109,33,110,3612945,6,2,"Season_1883","Home1A","Vis1AC","day_006",513
"9","1883_006_Vis1AC_Home1A",109,33,110,3613745,6,3,"Season_1883","Home1A","Vis1AC","day_006",513
"10","1883_006_Vis1AC_Home1A",127,38,128,4281795,6,2,"Season_1883","Home1A","Vis1AC","day_006",513
"11","1883_006_Vis1AC_Home1A",277,77,278,9592045,6,2,"Season_1883","Home1A","Vis1AC","day_006",513
"12","1883_006_Vis1AC_Home1A",277,77,278,9593145,6,3,"Season_1883","Home1A","Vis1AC","day_006",513
"13","1883_011_Vis1AD_Home1A",4,1,4,92802,6,2,"Season_1883","Home1A","Vis1AD","day_011",993
"14","1883_011_Vis1AD_Home1A",4,1,4,94252,6,3,"Season_1883","Home1A","Vis1AD","day_011",993
"15","1883_011_Vis1AD_Home1A",10,2,10,278752,6,2,"Season_1883","Home1A","Vis1AD","day_011",993
"16","1883_011_Vis1AD_Home1A",12,3,12,354152,6,2,"Season_1883","Home1A","Vis1AD","day_011",993
"17","1883_011_Vis1AD_Home1A",12,3,12,354552,6,3,"Season_1883","Home1A","Vis1AD","day_011",993
"18","1883_019_Vis1AF_Home1A",65,17,65,2245022,6,2,"Season_1883","Home1A","Vis1AF","day_019",513
"19","1883_018_Vis1AF_Home1A",7,2,7,130427,6,2,"Season_1883","Home1A","Vis1AF","day_018",513
"20","1883_018_Vis1AF_Home1A",9,3,9,200127,6,2,"Season_1883","Home1A","Vis1AF","day_018",513
"21","1883_018_Vis1AF_Home1A",50,13,50,1537127,6,2,"Season_1883","Home1A","Vis1AF","day_018",513
"22","1883_018_Vis1AF_Home1A",50,13,50,1537877,6,3,"Season_1883","Home1A","Vis1AF","day_018",513
"23","1883_018_Vis1AF_Home1A",57,17,57,1950583,6,2,"Season_1883","Home1A","Vis1AF","day_018",513
"24","1883_018_Vis1AF_Home1A",57,17,57,1951283,6,3,"Season_1883","Home1A","Vis1AF","day_018",513
"25","1883_018_Vis1AF_Home1A",68,20,68,2182783,6,2,"Season_1883","Home1A","Vis1AF","day_018",513
"26","1883_018_Vis1AF_Home1A",69,21,69,2235383,6,2,"Season_1883","Home1A","Vis1AF","day_018",513
"27","1883_018_Vis1AF_Home1A",100,30,100,3303883,6,2,"Season_1883","Home1A","Vis1AF","day_018",513
"28","1883_018_Vis1AF_Home1A",100,30,100,3304883,6,3,"Season_1883","Home1A","Vis1AF","day_018",513
"29","1883_018_Vis1AF_Home1A",129,36,129,4258033,6,2,"Season_1883","Home1A","Vis1AF","day_018",513
"30","1883_018_Vis1AF_Home1A",136,38,136,4462033,6,2,"Season_1883","Home1A","Vis1AF","day_018",513
"31","1883_018_Vis1AF_Home1A",143,40,143,4690533,6,2,"Season_1883","Home1A","Vis1AF","day_018",513
"32","1883_021_Vis1AG_Home1A",126,31,126,4586290,6,2,"Season_1883","Home1A","Vis1AG","day_021",442
"33","1883_021_Vis1AG_Home1A",156,37,156,5676040,6,2,"Season_1883","Home1A","Vis1AG","day_021",442
"34","1883_021_Vis1AG_Home1A",225,52,225,8112890,6,2,"Season_1883","Home1A","Vis1AG","day_021",442
"35","1883_021_Vis1AG_Home1A",235,54,235,8480240,6,2,"Season_1883","Home1A","Vis1AG","day_021",442
"36","1883_021_Vis1AG_Home1A",235,54,235,8480990,6,3,"Season_1883","Home1A","Vis1AG","day_021",442
"37","1883_023_Vis1AG_Home1A",66,19,66,2117022,6,2,"Season_1883","Home1A","Vis1AG","day_023",442
"38","1883_023_Vis1AG_Home1A",66,19,66,2118322,6,3,"Season_1883","Home1A","Vis1AG","day_023",442
"39","1883_023_Vis1AG_Home1A",251,62,252,8559222,6,2,"Season_1883","Home1A","Vis1AG","day_023",442
"40","1883_023_Vis1AG_Home1A",253,63,254,8617622,6,2,"Season_1883","Home1A","Vis1AG","day_023",442
"41","1883_023_Vis1AG_Home1A",256,64,257,8693572,6,2,"Season_1883","Home1A","Vis1AG","day_023",442
"42","1883_023_Vis1AG_Home1A",256,64,257,8694222,6,3,"Season_1883","Home1A","Vis1AG","day_023",442
"43","1883_023_Vis1AG_Home1A",299,77,300,10140272,6,2,"Season_1883","Home1A","Vis1AG","day_023",442
"44","1883_024_Vis1AG_Home1A",11,3,11,226015,6,2,"Season_1883","Home1A","Vis1AG","day_024",513
"45","1883_024_Vis1AG_Home1A",23,8,24,866565,6,2,"Season_1883","Home1A","Vis1AG","day_024",513
"46","1883_032_Vis1AH_Home1A",52,13,53,1806283,6,9,"Season_1883","Home1A","Vis1AH","day_032",472
"47","1883_032_Vis1AH_Home1A",52,13,53,1807033,6,2,"Season_1883","Home1A","Vis1AH","day_032",472
"48","1883_032_Vis1AH_Home1A",52,13,53,1807833,6,3,"Season_1883","Home1A","Vis1AH","day_032",472
"49","1883_032_Vis1AH_Home1A",157,43,158,5812433,6,2,"Season_1883","Home1A","Vis1AH","day_032",472
"50","1883_032_Vis1AH_Home1A",160,44,162,6111833,6,2,"Season_1883","Home1A","Vis1AH","day_032",472
"51","1883_032_Vis1AH_Home1A",161,45,163,6202333,6,2,"Season_1883","Home1A","Vis1AH","day_032",472
"52","1883_032_Vis1AH_Home1A",161,45,163,6203483,6,3,"Season_1883","Home1A","Vis1AH","day_032",472
"53","1883_033_Vis1AH_Home1A",261,74,261,9509167,6,2,"Season_1883","Home1A","Vis1AH","day_033",472
